,index_x,page,country,rev_id,article_quality_estimate,index_y,FIPS,Name,Type,TimeFrame,Data (M),Population
488,23.0,Julius Gregr,Czech Republic,395521877,Stub,,,,,,,
489,24.0,Edvard Gregr,Czech Republic,395526568,Stub,,,,,,,
490,556.0,Miroslav Poche,Czech Republic,672862914,Stub,,,,,,,
491,557.0,Vojtěch Mynář,Czech Republic,673008587,Stub,,,,,,,
492,1109.0,Jan Malypetr,Czech Republic,704424304,Stub,,,,,,,
493,1192.0,Emanuel Moravec,Czech Republic,705080136,Start,,,,,,,
494,1685.0,Vladimír Hučín,Czech Republic,707597623,Start,,,,,,,
495,2008.0,Pavla Topolánková,Czech Republic,709676840,Start,,,,,,,
496,2369.0,Josef Barák,Czech Republic,711675761,Stub,,,,,,,
497,2487.0,Antonín Švehla,Czech Republic,712426548,Stub,,,,,,,
498,2808.0,Jakob Marzel Sternberger,Czech Republic,713698544,Stub,,,,,,,
499,2884.0,Alois Anderka,Czech Republic,714174726,Stub,,,,,,,
500,3297.0,Ivan Dejmal,Czech Republic,715467197,Start,,,,,,,
501,3368.0,Franz Macoun,Czech Republic,715640391,Stub,,,,,,,
502,3616.0,Karel Urbánek,Czech Republic,716711851,Stub,,,,,,,
503,3824.0,Vladimír Klokočka,Czech Republic,717429365,Start,,,,,,,
504,4524.0,Jaromír Jermář,Czech Republic,720027362,Stub,,,,,,,
505,5067.0,Artur London,Czech Republic,721736524,Start,,,,,,,
506,5352.0,František Sláma (politician),Czech Republic,722937211,Stub,,,,,,,
507,5423.0,Jan Kubice,Czech Republic,723151837,Stub,,,,,,,
508,5440.0,Kamil Jankovský,Czech Republic,723207013,Stub,,,,,,,
509,5863.0,Václav Vacek,Czech Republic,724691268,Stub,,,,,,,
510,6127.0,Čestmír Císař,Czech Republic,725362978,C,,,,,,,
511,6412.0,Luca Rovinalti,Czech Republic,726666131,Stub,,,,,,,
512,6451.0,Kamil Krofta,Czech Republic,726762194,Start,,,,,,,
513,6628.0,Milan Štěch,Czech Republic,728506208,Stub,,,,,,,
514,6809.0,Antonín Janoušek,Czech Republic,729912438,Stub,,,,,,,
515,6847.0,Bedřich Geminder,Czech Republic,730146355,Stub,,,,,,,
516,7529.0,Karel Domin,Czech Republic,735174171,Start,,,,,,,
517,7839.0,Hubert Ripka,Czech Republic,737562321,Start,,,,,,,
518,8621.0,Tomáš Eduard Šilinger,Czech Republic,741588720,Stub,,,,,,,
519,8642.0,Petr Janyška,Czech Republic,741798984,Stub,,,,,,,
520,8882.0,Jana Juřenčáková,Czech Republic,743423675,Stub,,,,,,,
521,9071.0,Jaromír Nečas,Czech Republic,744448745,Stub,,,,,,,
522,9141.0,Siegfried Taub,Czech Republic,744612257,Start,,,,,,,
523,9508.0,Záviš Kalandra,Czech Republic,746707985,Stub,,,,,,,
524,10198.0,Alois Rašín,Czech Republic,749575931,Start,,,,,,,
525,10309.0,Bedřich Reicin,Czech Republic,749945936,Start,,,,,,,
526,10644.0,Bernd Richter,Czech Republic,751718674,Stub,,,,,,,
527,10814.0,Kamil Kalina,Czech Republic,753045804,Stub,,,,,,,
528,11177.0,Richard Sacher,Czech Republic,755428089,Stub,,,,,,,
529,11342.0,Václav Fischer,Czech Republic,756317863,Start,,,,,,,
530,12553.0,Božena Viková-Kunětická,Czech Republic,757336278,Stub,,,,,,,
531,13428.0,Mikuláš of Hus,Czech Republic,758942647,Stub,,,,,,,
532,13520.0,Gertruda Sekaninová-Čakrtová,Czech Republic,759446334,GA,,,,,,,
533,14878.0,Petr Mlsna,Czech Republic,765838180,Stub,,,,,,,
534,15444.0,Antonín Cyril Stojan,Czech Republic,768047769,C,,,,,,,
535,15594.0,František Kubka,Czech Republic,768676716,Stub,,,,,,,
536,16999.0,Josef Pfitzner,Czech Republic,773853256,Start,,,,,,,
537,17266.0,Vladimír Franz,Czech Republic,774595725,C,,,,,,,
538,17655.0,Jan Stocklassa,Czech Republic,776095794,Stub,,,,,,,
539,17681.0,Jaroslav Krejčí,Czech Republic,776197284,Start,,,,,,,
540,17721.0,Libuše Benešová,Czech Republic,776338134,Stub,,,,,,,
541,17722.0,Daniela Filipiová,Czech Republic,776338195,Start,,,,,,,
542,17765.0,Moses Porges von Portheim,Czech Republic,776487173,Start,,,,,,,
543,17773.0,Jan Kasl,Czech Republic,776508129,Start,,,,,,,
544,17774.0,Jiří Kittner,Czech Republic,776509425,Stub,,,,,,,
545,17777.0,Miloslav Vlček,Czech Republic,776513404,Stub,,,,,,,
546,17778.0,Ivo Svoboda (politician),Czech Republic,776513552,Start,,,,,,,
547,17779.0,Hana Orgoníková,Czech Republic,776513802,Stub,,,,,,,
548,17780.0,Pavel Dostál,Czech Republic,776514175,Start,,,,,,,
549,17835.0,Jiří Lobkowicz,Czech Republic,776751749,Stub,,,,,,,
550,18289.0,Bohuslav Kokotek,Czech Republic,777876483,Stub,,,,,,,
551,18335.0,Alena Hanáková,Czech Republic,778095433,Stub,,,,,,,
552,18834.0,Irena Kočí,Czech Republic,779417455,Stub,,,,,,,
553,18835.0,Martin Netolický,Czech Republic,779417738,Stub,,,,,,,
554,18836.0,David Rath,Czech Republic,779418369,Start,,,,,,,
555,18972.0,Eva Nováková,Czech Republic,779498276,Stub,,,,,,,
556,18973.0,Vojtěch Adam,Czech Republic,779500408,Stub,,,,,,,
557,18974.0,Vlastimil Balín,Czech Republic,779500749,Stub,,,,,,,
558,18975.0,Jiří Dolejš,Czech Republic,779500957,Stub,,,,,,,
559,18976.0,Zuzka Bebarová-Rujbrová,Czech Republic,779501010,Stub,,,,,,,
560,18977.0,Marie Stiborová,Czech Republic,779501096,Start,,,,,,,
561,18978.0,Jiří Svoboda (politician),Czech Republic,779501161,Stub,,,,,,,
562,18979.0,Miloslava Vostrá,Czech Republic,779501194,Stub,,,,,,,
563,18980.0,Jiří Čeřovský,Czech Republic,779501654,Stub,,,,,,,
564,18981.0,Jan Korger,Czech Republic,779501783,Stub,,,,,,,
565,19048.0,Kateřina Jacques,Czech Republic,779581127,C,,,,,,,
566,19146.0,Tomáš Chalupa,Czech Republic,779839245,Stub,,,,,,,
567,19147.0,Pavel Blažek,Czech Republic,779839319,Stub,,,,,,,
568,19148.0,Aleš Řebíček,Czech Republic,779839400,Stub,,,,,,,
569,19149.0,Ivan Langer,Czech Republic,779839455,Start,,,,,,,
570,19150.0,Jan Stráský,Czech Republic,779839492,Start,,,,,,,
571,19155.0,Jan Chvojka,Czech Republic,779842639,Stub,,,,,,,
572,19159.0,Marie Benešová,Czech Republic,779847262,Stub,,,,,,,
573,19160.0,Juraj Chmiel,Czech Republic,779847492,Stub,,,,,,,
574,19161.0,Daniela Kovářová,Czech Republic,779847531,Stub,,,,,,,
575,19162.0,Rostislav Vondruška,Czech Republic,779847687,Stub,,,,,,,
576,19163.0,Martin Štěpánek (actor),Czech Republic,779847799,Start,,,,,,,
577,19164.0,Helena Třeštíková,Czech Republic,779847837,Stub,,,,,,,
578,19165.0,Milena Vicenová,Czech Republic,779847883,Stub,,,,,,,
579,19166.0,Jaroslav Bašta,Czech Republic,779848743,Stub,,,,,,,
580,19167.0,Josef Lux,Czech Republic,779849059,Stub,,,,,,,
581,19168.0,Miroslav Macek,Czech Republic,779849258,Stub,,,,,,,
582,19169.0,Ladislav Miko,Czech Republic,779849694,Stub,,,,,,,
583,19170.0,Džamila Stehlíková,Czech Republic,779849767,Stub,,,,,,,
584,19246.0,Jozef Moravčík,Czech Republic,780051829,Stub,,,,,,,
585,19314.0,Milan Uhde,Czech Republic,780321961,Stub,,,,,,,
586,19367.0,František Pitra,Czech Republic,780534080,Stub,,,,,,,
587,19369.0,Oldřich Černík,Czech Republic,780534267,Stub,,,,,,,
588,19471.0,Otakar Motejl,Czech Republic,780868492,Start,,,,,,,
589,19473.0,Ludwig Czech,Czech Republic,780887131,Stub,,,,,,,
590,19481.0,Rudolf Beran,Czech Republic,780921783,Start,,,,,,,
591,19821.0,Victor Adler,Czech Republic,782058966,Start,,,,,,,
592,19957.0,Emil Beier,Czech Republic,782384016,Stub,,,,,,,
593,20245.0,Bruno Kafka,Czech Republic,783065752,Stub,,,,,,,
594,20634.0,Lucie Talmanová,Czech Republic,783711789,Start,,,,,,,
595,20646.0,Martin Mejstřík,Czech Republic,783737915,Stub,,,,,,,
596,20841.0,Vlastimil Tusar,Czech Republic,784145485,Start,,,,,,,
597,21137.0,Petr Bendl,Czech Republic,784826685,Start,,,,,,,
598,21138.0,Petr Gandalovič,Czech Republic,784826720,Start,,,,,,,
599,21194.0,Tomáš Vandas,Czech Republic,784968648,Start,,,,,,,
600,21249.0,Robert Mayr-Harting,Czech Republic,785085345,Stub,,,,,,,
601,21405.0,Karel Havlíček Borovský,Czech Republic,785407597,C,,,,,,,
602,21735.0,Jan Černý,Czech Republic,786162238,Start,,,,,,,
603,21837.0,Josef Frank (politician),Czech Republic,786399604,Stub,,,,,,,
604,21934.0,Philip Kinsky of Wchinitz and Tettau,Czech Republic,786612217,Start,,,,,,,
605,22970.0,Luboš Dobrovský,Czech Republic,787952395,Stub,,,,,,,
606,22973.0,Bedřich Moldan,Czech Republic,787952868,Stub,,,,,,,
607,23089.0,Martin Palouš,Czech Republic,788015952,Start,,,,,,,
608,23207.0,Hermann Zwierzina,Czech Republic,788121309,Stub,,,,,,,
609,23287.0,Eduard Zeman,Czech Republic,788178766,Stub,,,,,,,
610,23541.0,Richard Bienert,Czech Republic,788410657,Start,,,,,,,
611,26098.0,Václav Hampl,Czech Republic,789102318,Start,,,,,,,
612,27805.0,Miroslav Grebeníček,Czech Republic,789546047,Stub,,,,,,,
613,27806.0,Vlasta Štěpová,Czech Republic,789546066,Stub,,,,,,,
614,27807.0,Egon Lánský,Czech Republic,789546079,Start,,,,,,,
615,27808.0,Antonín Prachař,Czech Republic,789546102,Stub,,,,,,,
616,27809.0,Milan Horálek,Czech Republic,789546147,Stub,,,,,,,
617,28978.0,Antonín Novotný,Czech Republic,790372008,C,,,,,,,
618,29170.0,Zuzana Brzobohatá,Czech Republic,790608148,Stub,,,,,,,
619,29171.0,Alena Palečková,Czech Republic,790608180,Stub,,,,,,,
620,29172.0,Zuzana Roithová,Czech Republic,790608186,Start,,,,,,,
621,29347.0,"List of MPs elected in the Czech legislative election, 2017",Czech Republic,790838510,Stub,,,,,,,
622,29744.0,Martin Jahn,Czech Republic,791374581,Start,,,,,,,
623,30447.0,Pavel Rychetský,Czech Republic,792417439,Stub,,,,,,,
624,30471.0,Gustáv Slamečka,Czech Republic,792476721,Start,,,,,,,
625,30784.0,Edvard Kožušník,Czech Republic,793087579,Stub,,,,,,,
626,31247.0,Jan Masaryk,Czech Republic,793642926,C,,,,,,,
627,31572.0,Jan Koukal,Czech Republic,794146543,Stub,,,,,,,
628,32237.0,Pavel Bém,Czech Republic,794995687,Start,,,,,,,
